dt: 0.01 CellNx: 12 b: 5.26 noParticles: 2048
Kinetic energy     Potential energy   Total energy   Temperature         Pressure   Average displacement
1391.38            12640.5               14031.9         0.452922         7.04527         19.7558
1394.12            12642               14036.1         0.453815         7.04673         19.9417
1401.64            12650.1               14051.8         0.456263         7.02993         20.1289
1410.88            12662.4               14073.3         0.459271         7.00438         20.3175
1416.85            12668.3               14085.2         0.461214         6.98325         20.5078
1415.66            12665.8               14081.5         0.460827         6.97821         20.6988
1406.71            12656               14062.7         0.457915         6.97745         20.8897
1392.21            12642               14034.3         0.453194         7.01576         21.0795
1377.33            12626.3               14003.6         0.448351         7.06174         21.2678
1367.38            12615.6               13982.9         0.44511         7.08796         21.4547
1365.44            12613.4               13978.8         0.444479         7.09563         21.6413
1370.95            12618.9               13989.9         0.446273         7.08359         21.8283
1380.06            12627               14007         0.449238         7.0802         22.0164
1388.79            12635.7               14024.5         0.45208         7.06411         22.2049
1395.71            12641               14036.7         0.454333         7.04875         22.3932
1400.07            12645.1               14045.2         0.455752         7.05133         22.5808
1401.16            12644.6               14045.8         0.456108         7.04442         22.7674
1399.33            12642.7               14042         0.455513         7.04207         22.9532
1396.05            12637.8               14033.8         0.454442         7.04695         23.1386
1393.2            12634.1               14027.3         0.453516         7.05422         23.3243
1391.97            12632.2               14024.2         0.453115         7.05026         23.5108
1393.33            12632.1               14025.5         0.453558         7.04749         23.6984
1398.2            12637.6               14035.8         0.455144         7.04129         23.8872
1406.14            12645.8               14051.9         0.457727         7.02669         24.0774
1414.11            12653.8               14068         0.460323         7.02429         24.269
1418.73            12656.9               14075.6         0.461825         6.99623         24.4612
1419.16            12657.4               14076.5         0.461967         6.97965         24.6534
1416.74            12656.3               14073.1         0.461178         6.98863         24.8448
1413.01            12653.1               14066.2         0.459963         6.98021         25.0352
1408.08            12649.7               14057.7         0.458358         6.98846         25.225
1400.21            12642.3               14042.5         0.455798         7.00668         25.4142
1388.85            12629.7               14018.5         0.452099         7.03362         25.6026
1377.12            12616               13993.1         0.448282         7.06286         25.7903
1370.37            12609.6               13980         0.446085         7.07795         25.9773
1371.88            12610.9               13982.8         0.446576         7.09953         26.1644
1381.1            12619.5               14000.6         0.449578         7.0843         26.3524
1394.2            12632               14026.2         0.45384         7.05853         26.5418
1406.36            12642.9               14049.3         0.457798         7.02793         26.7326
1414            12650.8               14064.8         0.460287         7.01887         26.9242
1416.05            12651.1               14067.2         0.460955         7.00654         27.1158
1413.8            12646.6               14060.4         0.460221         7.00888         27.3071
1409.13            12642.1               14051.2         0.458702         7.02984         27.4978
1403.73            12637.3               14041         0.456945         7.02064         27.6878
1399.64            12632.4               14032.1         0.455611         7.04017         27.877
1399.19            12630.7               14029.9         0.455466         7.03866         28.0657
1403.89            12635.5               14039.4         0.456994         7.03332         28.2544
